Título,Ano,Gêneros,Nota,Votacoes,Metascore
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy",8.3,96395,64
Peter Pan & Wendy,2023,"Action, Adventure, Comedy",4.1,18143,61
Evil Dead Rise,2023,Horror,6.9,51779,69
Dungeons & Dragons: Honor Among Thieves,2023,"Action, Adventure, Comedy",7.4,87046,72
Dune: Part Two,2023,"Action, Adventure, Drama",,,
The Super Mario Bros. Movie,2023,"Animation, Adventure, Comedy",7.3,98090,
The Hunger Games: The Ballad of Songbirds and Snakes,2023,"Action, Adventure, Drama",,,
Ghosted,2023,"Action, Adventure, Comedy",5.8,34852,
Scream VI,2023,"Horror, Mystery, Thriller",6.7,69193,61
Renfield,2023,"Comedy, Fantasy, Horror",6.4,29583,
The Pope's Exorcist,2023,"Horror, Thriller",6.1,26004,
AKA,2023,"Action, Crime, Thriller",6.7,6102,
Beau Is Afraid,2023,"Comedy, Drama, Horror",7.2,13499,62
John Wick: Chapter 4,2023,"Action, Crime, Thriller",8.2,146076,78
The Little Mermaid,2023,"Adventure, Family, Fantasy",,,
Sisu,2022,"Action, War",7.3,6437,70
The Covenant,2023,"Action, Thriller, War",7.6,18574,63
The Flash,2023,"Action, Adventure, Fantasy",,,
"Are You There God? It's Me, Margaret.",2023,"Comedy, Drama, Family",7.9,2364,86
Nefarious,2023,"Horror, Thriller",6.7,3732,
Air,2023,"Drama, Sport",7.6,39698,73
Gran Turismo,2023,"Action, Adventure, Drama",,,
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",8.0,1209421,76
Dune,2021,"Action, Adventure, Drama",8.0,671904,74
Avatar: The Way of Water,2022,"Action, Adventure, Fantasy",7.7,376879,67
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy",6.2,132515,
Transformers: Rise of the Beasts,2023,"Action, Adventure, Sci-Fi",,,
Clock,2023,"Horror, Thriller",5.0,2394,
X,2022,"Horror, Mystery, Thriller",6.6,128406,79
Cocaine Bear,2023,"Comedy, Thriller",6.0,67201,
The Last Kingdom: Seven Kings Must Die,2023,"Action, Drama, History",6.9,23292,
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",7.6,707223,67
